"Time results were received","MD5 hash of participants IP address","Controller name","Item number","Element number","Type","Group","PennElementType","PennElementName","Parameter","Value","EventTime","sentence1","Comments"
1552257458,183,"PennController",43,0,"prepositional","NULL","Selector","trial1","Selection","sentence1",1552256410522,"The master violinist was a musician whom few professionals could really compare to.","NULL"
1552257458,183,"PennController",43,0,"prepositional","NULL","PennController",43,"_Trial_","End",1552256411588,"The master violinist was a musician whom few professionals could really compare to.","NULL"
1552257458,183,"PennController",12,0,"filler","NULL","PennController",12,"_Trial_","Start",1552256411591,"A guard dog is a pet that during the night must keep watch.","NULL"
1552257458,183,"PennController",12,0,"filler","NULL","Selector","trial1","Selection","sentence2",1552256419178,"A guard dog is a pet that during the night must keep watch.","NULL"
1552257458,183,"PennController",12,0,"filler","NULL","PennController",12,"_Trial_","End",1552256419964,"A guard dog is a pet that during the night must keep watch.","NULL"
1552257458,183,"PennController",66,0,"particle","NULL","PennController",66,"_Trial_","Start",1552256419967,"Your strange cousin is a person whom the family must reluctantly put up with.","NULL"
1552257458,183,"PennController",66,0,"particle","NULL","Selector","trial1","Selection","sentence1",1552256429738,"Your strange cousin is a person whom the family must reluctantly put up with.","NULL"
1552257458,183,"PennController",66,0,"particle","NULL","PennController",66,"_Trial_","End",1552256430916,"Your strange cousin is a person whom the family must reluctantly put up with.","NULL"
1552257458,183,"PennController",31,0,"prepositional","NULL","PennController",31,"_Trial_","Start",1552256430918,"The charming neighborhood was a district which young couples could comfortably live in.","NULL"
1552257458,183,"PennController",31,0,"prepositional","NULL","Selector","trial1","Selection","sentence2",1552256445481,"The charming neighborhood was a district which young couples could comfortably live in.","NULL"
1552257458,183,"PennController",31,0,"prepositional","NULL","PennController",31,"_Trial_","End",1552256447081,"The charming neighborhood was a district which young couples could comfortably live in.","NULL"
1552257458,183,"PennController",17,0,"filler","NULL","PennController",17,"_Trial_","Start",1552256447082,"The young man was a student who in the library would read books.","NULL"
1552257458,183,"PennController",17,0,"filler","NULL","Selector","trial1","Selection","sentence2",1552256451434,"The young man was a student who in the library would read books.","NULL"
1552257458,183,"PennController",17,0,"filler","NULL","PennController",17,"_Trial_","End",1552256452539,"The young man was a student who in the library would read books.","NULL"
1552257458,183,"PennController",62,0,"particle","NULL","PennController",62,"_Trial_","Start",1552256452543,"That bearded man is the teacher whom the substitute would occasionally fill in for.","NULL"
1552257458,183,"PennController",62,0,"particle","NULL","Selector","trial1","Selection","sentence1",1552256462266,"That bearded man is the teacher whom the substitute would occasionally fill in for.","NULL"
1552257458,183,"PennController",62,0,"particle","NULL","PennController",62,"_Trial_","End",1552256463316,"That bearded man is the teacher whom the substitute would occasionally fill in for.","NULL"
1552257458,183,"PennController",27,0,"prepositional","NULL","PennController",27,"_Trial_","Start",1552256463319,"The brilliant compromise is a solution which both sides could happily agree on.","NULL"
1552257458,183,"PennController",27,0,"prepositional","NULL","Selector","trial1","Selection","sentence1",1552256478448,"The brilliant compromise is a solution which both sides could happily agree on.","NULL"
1552257458,183,"PennController",27,0,"prepositional","NULL","PennController",27,"_Trial_","End",1552256479483,"The brilliant compromise is a solution which both sides could happily agree on.","NULL"
1552257458,183,"PennController",19,0,"filler","NULL","PennController",19,"_Trial_","Start",1552256479486,"The stern captain is the officer who on the boat could give orders.","NULL"
1552257458,183,"PennController",19,0,"filler","NULL","Selector","trial1","Selection","sentence2",1552256490873,"The stern captain is the officer who on the boat could give orders.","NULL"
1552257458,183,"PennController",19,0,"filler","NULL","PennController",19,"_Trial_","End",1552256491819,"The stern captain is the officer who on the boat could give orders.","NULL"
1552257458,183,"PennController",50,0,"particle","NULL","PennController",50,"_Trial_","Start",1552256491822,"The popular shampoo was a product which the store would regularly run out of.","NULL"
1552257458,183,"PennController",50,0,"particle","NULL","Selector","trial1","Selection","sentence1",1552256525241,"The popular shampoo was a product which the store would regularly run out of.","NULL"
1552257458,183,"PennController",50,0,"particle","NULL","PennController",50,"_Trial_","End",1552256526267,"The popular shampoo was a product which the store would regularly run out of.","NULL"
1552257458,183,"PennController",42,0,"prepositional","NULL","PennController",42,"_Trial_","Start",1552256526269,"That foster parent was a guardian whom many children could reliably depend on.","NULL"
1552257458,183,"PennController",42,0,"prepositional","NULL","Selector","trial1","Selection","sentence1",1552256534209,"That foster parent was a guardian whom many children could reliably depend on.","NULL"
1552257458,183,"PennController",42,0,"prepositional","NULL","PennController",42,"_Trial_","End",1552256537699,"That foster parent was a guardian whom many children could reliably depend on.","NULL"
1552257458,183,"PennController",20,0,"filler","NULL","PennController",20,"_Trial_","Start",1552256537702,"The young intellectual is a writer who in the park would write poetry.","NULL"
1552257458,183,"PennController",20,0,"filler","NULL","Selector","trial1","Selection","sentence2",1552256543896,"The young intellectual is a writer who in the park would write poetry.","NULL"
1552257458,183,"PennController",20,0,"filler","NULL","PennController",20,"_Trial_","End",1552256544826,"The young intellectual is a writer who in the park would write poetry.","NULL"
1552257458,183,"PennController",57,0,"particle","NULL","PennController",57,"_Trial_","Start",1552256544829,"My friendly uncle is a relative whom most everyone can easily get along with.","NULL"
1552257458,183,"PennController",57,0,"particle","NULL","Selector","trial1","Selection","sentence1",1552256551872,"My friendly uncle is a relative whom most everyone can easily get along with.","NULL"
1552257458,183,"PennController",57,0,"particle","NULL","PennController",57,"_Trial_","End",1552256553434,"My friendly uncle is a relative whom most everyone can easily get along with.","NULL"
1552257458,183,"PennController",32,0,"prepositional","NULL","PennController",32,"_Trial_","Start",1552256553437,"The new plan is a project which the mayor should immediately work on.","NULL"
1552257458,183,"PennController",32,0,"prepositional","NULL","Selector","trial1","Selection","sentence1",1552256563576,"The new plan is a project which the mayor should immediately work on.","NULL"
1552257458,183,"PennController",32,0,"prepositional","NULL","PennController",32,"_Trial_","End",1552256564546,"The new plan is a project which the mayor should immediately work on.","NULL"
1552257458,183,"PennController",7,0,"filler","NULL","PennController",7,"_Trial_","Start",1552256564549,"The talented musician was a performer who on some days would sing opera.","NULL"
1552257458,183,"PennController",7,0,"filler","NULL","Selector","trial1","Selection","sentence2",1552256569032,"The talented musician was a performer who on some days would sing opera.","NULL"
1552257458,183,"PennController",7,0,"filler","NULL","PennController",7,"_Trial_","End",1552256570146,"The talented musician was a performer who on some days would sing opera.","NULL"
1552257458,183,"PennController",47,0,"particle","NULL","PennController",47,"_Trial_","Start",1552256570148,"That rare edition was a book  which the collector would always look out for.","NULL"
1552257458,183,"PennController",47,0,"particle","NULL","Selector","trial1","Selection","sentence1",1552256577765,"That rare edition was a book  which the collector would always look out for.","NULL"
1552257458,183,"PennController",47,0,"particle","NULL","PennController",47,"_Trial_","End",1552256578882,"That rare edition was a book  which the collector would always look out for.","NULL"
1552257458,183,"PennController",29,0,"prepositional","NULL","PennController",29,"_Trial_","Start",1552256578884,"The antique painting was a piece which the critic would closely stare at.","NULL"
1552257458,183,"PennController",29,0,"prepositional","NULL","Selector","trial1","Selection","sentence1",1552256584513,"The antique painting was a piece which the critic would closely stare at.","NULL"
1552257458,183,"PennController",29,0,"prepositional","NULL","PennController",29,"_Trial_","End",1552256586699,"The antique painting was a piece which the critic would closely stare at.","NULL"
1552257458,183,"PennController",13,0,"filler","NULL","PennController",13,"_Trial_","Start",1552256586702,"That quiet teenager was an employee who at closing time would wash dishes.","NULL"
1552257458,183,"PennController",13,0,"filler","NULL","Selector","trial1","Selection","sentence2",1552256595345,"That quiet teenager was an employee who at closing time would wash dishes.","NULL"
1552257458,183,"PennController",13,0,"filler","NULL","PennController",13,"_Trial_","End",1552256596419,"That quiet teenager was an employee who at closing time would wash dishes.","NULL"
1552257458,183,"PennController",69,0,"catch","NULL","PennController",68,"_Trial_","Start",1552256596426,"If you're reading this do not select the other sentence select this one.","NULL"
1552257458,183,"PennController",69,0,"catch","NULL","Selector","trial1","Selection","sentence1",1552256599193,"If you're reading this do not select the other sentence select this one.","NULL"
1552257458,183,"PennController",69,0,"catch","NULL","PennController",68,"_Trial_","End",1552256600107,"If you're reading this do not select the other sentence select this one.","NULL"
1552257458,183,"PennController",51,0,"particle","NULL","PennController",51,"_Trial_","Start",1552256600110,"This secure cell was an area which no prisoner could ever break out of.","NULL"
1552257458,183,"PennController",51,0,"particle","NULL","Selector","trial1","Selection","sentence1",1552256607808,"This secure cell was an area which no prisoner could ever break out of.","NULL"
1552257458,183,"PennController",51,0,"particle","NULL","PennController",51,"_Trial_","End",1552256609307,"This secure cell was an area which no prisoner could ever break out of.","NULL"
1552257458,183,"PennController",38,0,"prepositional","NULL","PennController",38,"_Trial_","Start",1552256609309,"My intimidating professor is an expert whom no student can confidently speak to.","NULL"
1552257458,183,"PennController",38,0,"prepositional","NULL","Selector","trial1","Selection","sentence1",1552256618521,"My intimidating professor is an expert whom no student can confidently speak to.","NULL"
1552257458,183,"PennController",38,0,"prepositional","NULL","PennController",38,"_Trial_","End",1552256619586,"My intimidating professor is an expert whom no student can confidently speak to.","NULL"
1552257458,183,"PennController",22,0,"filler","NULL","PennController",22,"_Trial_","Start",1552256619589,"The new teacher is a vocalist who at this school will teach music.","NULL"
1552257458,183,"PennController",22,0,"filler","NULL","Selector","trial1","Selection","sentence2",1552256624609,"The new teacher is a vocalist who at this school will teach music.","NULL"
1552257458,183,"PennController",22,0,"filler","NULL","PennController",22,"_Trial_","End",1552256625723,"The new teacher is a vocalist who at this school will teach music.","NULL"
1552257458,183,"PennController",53,0,"particle","NULL","PennController",53,"_Trial_","Start",1552256625729,"The unsigned contract is a deal which the businesswoman could still back out of.","NULL"
1552257458,183,"PennController",53,0,"particle","NULL","Selector","trial1","Selection","sentence1",1552256644791,"The unsigned contract is a deal which the businesswoman could still back out of.","NULL"
1552257458,183,"PennController",53,0,"particle","NULL","PennController",53,"_Trial_","End",1552256645883,"The unsigned contract is a deal which the businesswoman could still back out of.","NULL"
1552257458,183,"PennController",30,0,"prepositional","NULL","PennController",30,"_Trial_","Start",1552256645886,"The careful argument was a statement which no opponent could easily argue with.","NULL"
1552257458,183,"PennController",30,0,"prepositional","NULL","Selector","trial1","Selection","sentence1",1552256655792,"The careful argument was a statement which no opponent could easily argue with.","NULL"
1552257458,183,"PennController",30,0,"prepositional","NULL","PennController",30,"_Trial_","End",1552256656619,"The careful argument was a statement which no opponent could easily argue with.","NULL"
1552257458,183,"PennController",16,0,"filler","NULL","PennController",16,"_Trial_","Start",1552256656621,"The chocolate cake is a dessert that later this evening must be baked.","NULL"
1552257458,183,"PennController",16,0,"filler","NULL","Selector","trial1","Selection","sentence2",1552256663288,"The chocolate cake is a dessert that later this evening must be baked.","NULL"
1552257458,183,"PennController",16,0,"filler","NULL","PennController",16,"_Trial_","End",1552256664424,"The chocolate cake is a dessert that later this evening must be baked.","NULL"
1552257458,183,"PennController",64,0,"particle","NULL","PennController",64,"_Trial_","Start",1552256664425,"The quiet child is a troublemaker whom all babysitters should often check in on.","NULL"
1552257458,183,"PennController",64,0,"particle","NULL","Selector","trial1","Selection","sentence1",1552256672504,"The quiet child is a troublemaker whom all babysitters should often check in on.","NULL"
1552257458,183,"PennController",64,0,"particle","NULL","PennController",64,"_Trial_","End",1552256673312,"The quiet child is a troublemaker whom all babysitters should often check in on.","NULL"
1552257458,183,"PennController",37,0,"prepositional","NULL","PennController",37,"_Trial_","Start",1552256673313,"Her impatient sister is a companion whom few people would willingly travel with.","NULL"
1552257458,183,"PennController",37,0,"prepositional","NULL","Selector","trial1","Selection","sentence1",1552256680112,"Her impatient sister is a companion whom few people would willingly travel with.","NULL"
1552257458,183,"PennController",37,0,"prepositional","NULL","PennController",37,"_Trial_","End",1552256681818,"Her impatient sister is a companion whom few people would willingly travel with.","NULL"
1552257458,183,"PennController",11,0,"filler","NULL","PennController",11,"_Trial_","Start",1552256681820,"The delicate pastry is a food that before too long could lose flavor.","NULL"
1552257458,183,"PennController",11,0,"filler","NULL","Selector","trial1","Selection","sentence2",1552256702360,"The delicate pastry is a food that before too long could lose flavor.","NULL"
1552257458,183,"PennController",11,0,"filler","NULL","PennController",11,"_Trial_","End",1552256703226,"The delicate pastry is a food that before too long could lose flavor.","NULL"
1552257458,183,"PennController",59,0,"particle","NULL","PennController",59,"_Trial_","Start",1552256703228,"Their dishonest mother was a liar whom the children could never make up with.","NULL"
1552257458,183,"PennController",59,0,"particle","NULL","Selector","trial1","Selection","sentence1",1552256710465,"Their dishonest mother was a liar whom the children could never make up with.","NULL"
1552257458,183,"PennController",59,0,"particle","NULL","PennController",59,"_Trial_","End",1552256711537,"Their dishonest mother was a liar whom the children could never make up with.","NULL"
1552257458,183,"PennController",33,0,"prepositional","NULL","PennController",33,"_Trial_","Start",1552256711539,"The monthly journal is a magazine which all experts should definitely subscribe to.","NULL"
1552257458,183,"PennController",33,0,"prepositional","NULL","Selector","trial1","Selection","sentence1",1552256716640,"The monthly journal is a magazine which all experts should definitely subscribe to.","NULL"
1552257458,183,"PennController",33,0,"prepositional","NULL","PennController",33,"_Trial_","End",1552256717762,"The monthly journal is a magazine which all experts should definitely subscribe to.","NULL"
1552257458,183,"PennController",10,0,"filler","NULL","PennController",10,"_Trial_","Start",1552256717765,"That abstract painting was a work that after a minute would look boring.","NULL"
1552257458,183,"PennController",10,0,"filler","NULL","Selector","trial1","Selection","sentence2",1552256724728,"That abstract painting was a work that after a minute would look boring.","NULL"
1552257458,183,"PennController",10,0,"filler","NULL","PennController",10,"_Trial_","End",1552256725594,"That abstract painting was a work that after a minute would look boring.","NULL"
1552257458,183,"PennController",52,0,"particle","NULL","PennController",52,"_Trial_","Start",1552256725596,"Her first birthday is an event which her dad must unfortunately miss out on.","NULL"
1552257458,183,"PennController",52,0,"particle","NULL","Selector","trial1","Selection","sentence1",1552256732062,"Her first birthday is an event which her dad must unfortunately miss out on.","NULL"
1552257458,183,"PennController",52,0,"particle","NULL","PennController",52,"_Trial_","End",1552256732921,"Her first birthday is an event which her dad must unfortunately miss out on.","NULL"
1552257458,183,"PennController",35,0,"prepositional","NULL","PennController",35,"_Trial_","Start",1552256732923,"The controversial issue was a topic which few activists would openly fight for.","NULL"
1552257458,183,"PennController",35,0,"prepositional","NULL","Selector","trial1","Selection","sentence1",1552256743952,"The controversial issue was a topic which few activists would openly fight for.","NULL"
1552257458,183,"PennController",35,0,"prepositional","NULL","PennController",35,"_Trial_","End",1552256744730,"The controversial issue was a topic which few activists would openly fight for.","NULL"
1552257458,183,"PennController",9,0,"filler","NULL","PennController",9,"_Trial_","Start",1552256744732,"That old song was a tune that by the end would sound familiar.","NULL"
1552257458,183,"PennController",9,0,"filler","NULL","Selector","trial1","Selection","sentence2",1552256753901,"That old song was a tune that by the end would sound familiar.","NULL"
1552257458,183,"PennController",9,0,"filler","NULL","PennController",9,"_Trial_","End",1552256754913,"That old song was a tune that by the end would sound familiar.","NULL"
1552257458,183,"PennController",58,0,"particle","NULL","PennController",58,"_Trial_","Start",1552256754916,"This kind woman was a friend whom my aunt would frequently catch up with.","NULL"
1552257458,183,"PennController",58,0,"particle","NULL","Selector","trial1","Selection","sentence1",1552256762798,"This kind woman was a friend whom my aunt would frequently catch up with.","NULL"
1552257458,183,"PennController",58,0,"particle","NULL","PennController",58,"_Trial_","End",1552256763940,"This kind woman was a friend whom my aunt would frequently catch up with.","NULL"
1552257458,183,"PennController",34,0,"prepositional","NULL","PennController",34,"_Trial_","Start",1552256763946,"The rare bird is a species which every biologist should enthusiastically teach about.","NULL"
1552257458,183,"PennController",34,0,"prepositional","NULL","Selector","trial1","Selection","sentence1",1552256772287,"The rare bird is a species which every biologist should enthusiastically teach about.","NULL"
1552257458,183,"PennController",34,0,"prepositional","NULL","PennController",34,"_Trial_","End",1552256773609,"The rare bird is a species which every biologist should enthusiastically teach about.","NULL"
1552257458,183,"PennController",26,0,"filler","NULL","PennController",26,"_Trial_","Start",1552256773612,"The post office was a service that around the world would deliver letters.","NULL"
1552257458,183,"PennController",26,0,"filler","NULL","Selector","trial1","Selection","sentence2",1552256778511,"The post office was a service that around the world would deliver letters.","NULL"
1552257458,183,"PennController",26,0,"filler","NULL","PennController",26,"_Trial_","End",1552256779593,"The post office was a service that around the world would deliver letters.","NULL"
1552257458,183,"PennController",49,0,"particle","NULL","PennController",49,"_Trial_","Start",1552256779597,"The first snowfall was an event which my brother would impatiently look forward to.","NULL"
1552257458,183,"PennController",49,0,"particle","NULL","Selector","trial1","Selection","sentence1",1552256786086,"The first snowfall was an event which my brother would impatiently look forward to.","NULL"
1552257458,183,"PennController",49,0,"particle","NULL","PennController",49,"_Trial_","End",1552256787489,"The first snowfall was an event which my brother would impatiently look forward to.","NULL"
1552257458,183,"PennController",45,0,"prepositional","NULL","PennController",45,"_Trial_","Start",1552256787492,"The unpredictable politician was a candidate whom most people would never vote for.","NULL"
1552257458,183,"PennController",45,0,"prepositional","NULL","Selector","trial1","Selection","sentence1",1552256792615,"The unpredictable politician was a candidate whom most people would never vote for.","NULL"
1552257458,183,"PennController",45,0,"prepositional","NULL","PennController",45,"_Trial_","End",1552256793823,"The unpredictable politician was a candidate whom most people would never vote for.","NULL"
1552257458,183,"PennController",24,0,"filler","NULL","PennController",24,"_Trial_","Start",1552256793825,"The experienced artist is a master who by the statue will paint portraits.","NULL"
1552257458,183,"PennController",24,0,"filler","NULL","Selector","trial1","Selection","sentence2",1552256802367,"The experienced artist is a master who by the statue will paint portraits.","NULL"
1552257458,183,"PennController",24,0,"filler","NULL","PennController",24,"_Trial_","End",1552256803361,"The experienced artist is a master who by the statue will paint portraits.","NULL"
1552257458,183,"PennController",63,0,"particle","NULL","PennController",63,"_Trial_","Start",1552256803363,"That tall carpenter was the gentleman whom my sister would sometimes go out with.","NULL"
1552257458,183,"PennController",63,0,"particle","NULL","Selector","trial1","Selection","sentence1",1552256889808,"That tall carpenter was the gentleman whom my sister would sometimes go out with.","NULL"
1552257458,183,"PennController",63,0,"particle","NULL","PennController",63,"_Trial_","End",1552256890604,"That tall carpenter was the gentleman whom my sister would sometimes go out with.","NULL"
1552257458,183,"PennController",44,0,"prepositional","NULL","PennController",44,"_Trial_","Start",1552256890606,"The friendly star was a figure whom many fans would regularly write to.","NULL"
1552257458,183,"PennController",44,0,"prepositional","NULL","Selector","trial1","Selection","sentence1",1552256895788,"The friendly star was a figure whom many fans would regularly write to.","NULL"
1552257458,183,"PennController",44,0,"prepositional","NULL","PennController",44,"_Trial_","End",1552256896971,"The friendly star was a figure whom many fans would regularly write to.","NULL"
1552257458,183,"PennController",18,0,"filler","NULL","PennController",18,"_Trial_","Start",1552256896974,"The older customer was a patron who at this cafe would sip coffee.","NULL"
1552257458,183,"PennController",18,0,"filler","NULL","Selector","trial1","Selection","sentence2",1552256901010,"The older customer was a patron who at this cafe would sip coffee.","NULL"
1552257458,183,"PennController",18,0,"filler","NULL","PennController",18,"_Trial_","End",1552256901963,"The older customer was a patron who at this cafe would sip coffee.","NULL"
1552257458,183,"PennController",65,0,"particle","NULL","PennController",65,"_Trial_","Start",1552256901966,"The expert chef was a master whom any amateur must humbly look up to.","NULL"
1552257458,183,"PennController",65,0,"particle","NULL","Selector","trial1","Selection","sentence1",1552256910432,"The expert chef was a master whom any amateur must humbly look up to.","NULL"
1552257458,183,"PennController",65,0,"particle","NULL","PennController",65,"_Trial_","End",1552256912139,"The expert chef was a master whom any amateur must humbly look up to.","NULL"
1552257458,183,"PennController",41,0,"prepositional","NULL","PennController",41,"_Trial_","Start",1552256912142,"The careful bicyclist is an athlete whom no accident could ever happen to.","NULL"
1552257458,183,"PennController",41,0,"prepositional","NULL","Selector","trial1","Selection","sentence2",1552256934001,"The careful bicyclist is an athlete whom no accident could ever happen to.","NULL"
1552257458,183,"PennController",41,0,"prepositional","NULL","PennController",41,"_Trial_","End",1552256935835,"The careful bicyclist is an athlete whom no accident could ever happen to.","NULL"
1552257458,183,"PennController",15,0,"filler","NULL","PennController",15,"_Trial_","Start",1552256935837,"That stubborn stain is an annoyance that by this point should be gone.","NULL"
1552257458,183,"PennController",15,0,"filler","NULL","Selector","trial1","Selection","sentence2",1552256943208,"That stubborn stain is an annoyance that by this point should be gone.","NULL"
1552257458,183,"PennController",15,0,"filler","NULL","PennController",15,"_Trial_","End",1552256944048,"That stubborn stain is an annoyance that by this point should be gone.","NULL"
1552257458,183,"PennController",48,0,"particle","NULL","PennController",48,"_Trial_","Start",1552256944049,"This new technology is a subject which all professionals must tirelessly keep up with.","NULL"
1552257458,183,"PennController",48,0,"particle","NULL","Selector","trial1","Selection","sentence1",1552256952879,"This new technology is a subject which all professionals must tirelessly keep up with.","NULL"
1552257458,183,"PennController",48,0,"particle","NULL","PennController",48,"_Trial_","End",1552256953785,"This new technology is a subject which all professionals must tirelessly keep up with.","NULL"
1552257458,183,"PennController",36,0,"prepositional","NULL","PennController",36,"_Trial_","Start",1552256953786,"The  new method is a technique which all surgeons should eagerly learn about.","NULL"
1552257458,183,"PennController",36,0,"prepositional","NULL","Selector","trial1","Selection","sentence1",1552256967646,"The  new method is a technique which all surgeons should eagerly learn about.","NULL"
1552257458,183,"PennController",36,0,"prepositional","NULL","PennController",36,"_Trial_","End",1552256968782,"The  new method is a technique which all surgeons should eagerly learn about.","NULL"
1552257458,183,"PennController",21,0,"filler","NULL","PennController",21,"_Trial_","Start",1552256968783,"The serious weightlifter was an athlete who at the gym would rarely speak.","NULL"
1552257458,183,"PennController",21,0,"filler","NULL","Selector","trial1","Selection","sentence2",1552256982829,"The serious weightlifter was an athlete who at the gym would rarely speak.","NULL"
1552257458,183,"PennController",21,0,"filler","NULL","PennController",21,"_Trial_","End",1552256984016,"The serious weightlifter was an athlete who at the gym would rarely speak.","NULL"
1552257458,183,"PennController",68,0,"catch","NULL","PennController",67,"_Trial_","Start",1552256984017,"If you're reading this please select this sentence.","NULL"
1552257458,183,"PennController",68,0,"catch","NULL","Selector","trial1","Selection","sentence1",1552256987294,"If you're reading this please select this sentence.","NULL"
1552257458,183,"PennController",68,0,"catch","NULL","PennController",67,"_Trial_","End",1552256991182,"If you're reading this please select this sentence.","NULL"
