VersionA,VersionB,type
Your strange cousin is a person whom the family must reluctantly put up with.,Your strange cousin is a person up with whom the family must reluctantly put.,particle
The brilliant compromise is a solution which both sides could happily agree on.,The brilliant compromise is a solution on which both sides could happily agree.,prepositional
The exhausting trip was a vacation which my friends will barely recover from.,The exhausting trip was a vacation from which my friends will barely recover.,prepositional
The antique painting was a piece which the critic would closely stare at.,The antique painting was a piece at which the critic would closely stare.,prepositional
The careful argument was a statement which no opponent could easily argue with.,The careful argument was a statement with which no opponent could easily argue.,prepositional
The charming neighborhood was a district which young couples could comfortably live in.,The charming neighborhood was a district in which young couples could comfortably live.,prepositional
The new plan is a project which the mayor should immediately work on.,The new plan is a project on which the mayor should immediately work.,prepositional
The monthly journal is a magazine which all experts should definitely subscribe to.,The monthly journal is a magazine to which all experts should definitely subscribe.,prepositional
The rare bird is a species which every biologist should enthusiastically teach about.,The rare bird is a species about which every biologist should enthusiastically teach.,prepositional
The controversial issue was a topic which few activists would openly fight for.,The controversial issue was a topic for which few activists would openly fight.,prepositional
The  new method is a technique which all surgeons should eagerly learn about.,The  new method is a technique about which all surgeons should eagerly learn.,prepositional
Her impatient sister is a companion whom few people would willingly travel with.,Her impatient sister is a companion with whom few people would willingly travel.,prepositional
My intimidating professor is an expert whom no student can confidently speak to.,My intimidating professor is an expert to whom no student can confidently speak.,prepositional
Her well-behaved daughter is an angel whom most babysitters would gladly care for.,Her well-behaved daughter is an angel for whom most babysitters would gladly care.,prepositional
That retired teacher is the customer whom the server would often wait on.,That retired teacher is the customer on whom the server would often wait.,prepositional
The careful bicyclist is an athlete whom no accident could ever happen to.,The careful bicyclist is an athlete to whom no accident could ever happen.,prepositional
That foster parent was a guardian whom many children could reliably depend on.,That foster parent was a guardian on whom many children could reliably depend.,prepositional
The master violinist was a musician whom few professionals could really compare to.,The master violinist was a musician to whom few professionals could really compare.,prepositional
The friendly star was a figure whom many fans would regularly write to.,The friendly star was a figure to whom many fans would regularly write.,prepositional
The unpredictable politician was a candidate whom most people would never vote for.,The unpredictable politician was a candidate for whom most people would never vote.,prepositional
The offensive comedian was an entertainer whom no audience would generally laugh at.,The offensive comedian was an entertainer at whom no audience would generally laugh.,prepositional
"If you're reading this, please select this sentence.","If you're reading this, please select the other sentence.",catch
"If you're reading this, do not select the other sentence, select this one.","If you're reading this, do not select this sentence.",catch
